ACGL
AES
AFL
AIG
AIZ
ALL
AMP
APA
APTV
BAX
BBY
BEN
BF.B
BG
BIIB
BK
BMY
C
CAG
CB
CF
CFG
CI
CINF
CMCSA
CNC
COP
CPB
CTRA
CVS
DAL
DD
DHI
DVN
EIX
ELV
EOG
ES
F
FANG
FDX
FISV
FITB
FOXA
GIS
GL
GPN
HAL
HBAN
HIG
HPQ
IVZ
JPM
KHC
KMB
KR
L
LEN
MAS
MET
MO
MOS
MRK
MTB
NEM
NTRS
NVR
OKE
OMC
PFE
PFG
PGR
PHM
PNC
PPG
PYPL
RF
RJF
SJM
SLB
STT
STZ
SYF
T
TAP
TFC
TGT
TRV
UPS
USB
VICI
VZ
WRB
